ori_word,clean_word,cat_ids
cologne*,cologne,[140]
colon,colon,"[146, 147]"
colono*,colono,"[146, 148]"
colons,colons,"[146, 147]"
color*,color,"[140, 141]"
colour*,colour,"[140, 141]"
column*,column,"[140, 141]"
com,com,[354]
coma*,coma,"[146, 148]"
come,come,"[11, 14, 131, 138, 251, 250]"
comed*,comed,"[125, 126, 356]"
comes,comes,"[11, 14, 251, 250]"
comfort*,comfort,"[125, 126]"
comic*,comic,[356]
coming,coming,"[251, 250]"
comment*,comment,[121]
commerc*,commerc,[354]
commit,commit,"[131, 136]"
commitment*,commitment,"[125, 126, 131, 136]"
commits,commits,"[131, 136]"
committ*,committ,"[131, 136]"
common,common,"[250, 253]"
commun*,commun,[121]
commute*,commute,[354]
commuting,commuting,[354]
companies,companies,[354]
companion,companion,"[121, 123]"
companions,companions,"[121, 123]"
companionship*,companionship,[121]
company,company,[354]
compassion*,compassion,"[121, 125, 126]"
compel*,compel,"[131, 133]"
compensat*,compensat,[358]
compet*,compet,[355]
complain*,complain,"[121, 125, 127]"
complete,complete,"[131, 136]"
completed,completed,"[131, 136]"
completely,completely,"[1, 16, 131, 136]"
completes,completes,"[131, 136]"
complex*,complex,"[131, 132]"
compliance,compliance,"[131, 133]"
complica*,complica,"[131, 132]"
complie*,complie,"[131, 133]"
compliment*,compliment,"[125, 126]"
comply*,comply,"[131, 133]"
compreh*,compreh,"[131, 132]"
compulsiv*,compulsiv,"[131, 137]"
comput*,comput,[354]
comrad*,comrad,"[121, 123]"
concentrat*,concentrat,"[131, 132]"
concerned,concerned,[125]
concert*,concert,"[356, 140, 142]"
conclud*,conclud,"[131, 132, 133, 355]"
conclus*,conclus,"[131, 132, 355]"
condo,condo,[357]
condom,condom,"[146, 149]"
condominium*,condominium,[357]
condoms,condoms,"[146, 149]"
condos,condos,[357]
conferenc*,conferenc,[354]
confess*,confess,"[121, 131, 132, 359]"
confide,confide,[121]
confided,confided,[121]
confidence,confidence,"[125, 126, 131, 136, 355]"
confident,confident,"[125, 126, 131, 136, 355]"
confidently,confidently,"[125, 126, 131, 136, 355]"
confides,confides,[121]
confiding,confiding,[121]
confin*,confin,"[131, 137]"
conflict*,conflict,"[131, 137]"
confront*,confront,"[125, 127, 129]"
confus*,confus,"[125, 127, 128, 131, 135]"
congest*,congest,"[146, 148]"
conglom*,conglom,[354]
congregat*,congregat,[121]
connection*,connection,"[250, 252]"
conquer*,conquer,[355]
conscientious*,conscientious,[355]
conscious*,conscious,"[131, 132]"
consequen*,consequen,"[131, 133]"
conserv*,conserv,"[131, 137]"
consider,consider,"[131, 132]"
considerate,considerate,"[125, 126]"
considered,considered,"[131, 132]"
considering,considering,"[131, 132]"
considers,considers,"[131, 132]"
constant,constant,"[250, 253]"
constantly,constantly,"[1, 16, 250, 253]"
constipat*,constipat,"[146, 148]"
constrain*,constrain,"[131, 137]"
constrict*,constrict,"[131, 137]"
consult*,consult,"[121, 354]"
consumer*,consumer,"[354, 358]"
contact*,contact,[121]
contag*,contag,"[146, 148]"
contain*,contain,"[131, 137]"
contemplat*,contemplat,"[131, 132]"
contempt*,contempt,"[125, 127, 129]"
contented*,contented,"[125, 126]"
contentment,contentment,"[125, 126]"
contingen*,contingen,"[131, 135]"
continu*,continu,"[253, 250]"
contracts,contracts,[354]
contradic*,contradic,"[121, 125, 127, 129, 131, 137]"
control*,control,"[131, 133, 137, 355]"
convent,convent,[359]
convents,convents,[359]
convers*,convers,[121]
convinc*,convinc,"[125, 126]"
cook*,cook,"[146, 150, 356]"
cool,cool,"[125, 126, 462, 140, 143]"
cornea*,cornea,"[146, 147]"
corner,corner,"[252, 250]"
corners,corners,"[252, 250]"
coronar*,coronar,"[146, 148]"
coroner*,coroner,"[360, 360]"
corp,corp,[354]
corporat*,corporat,"[354, 358]"
corps,corps,[354]
corpse*,corpse,[360]
correct*,correct,"[131, 136]"
correlat*,correlat,"[131, 132]"
cos,cos,"[131, 133]"
cost*,cost,[358]
couch*,couch,[357]
cough*,cough,"[146, 148]"
could,could,"[11, 1, 12, 131, 134]"
couldnt,couldnt,"[11, 1, 12, 19, 131, 134]"
couldn't,couldn't,"[11, 1, 12, 19, 131, 134]"
couldve,couldve,"[11, 1, 12, 13, 15, 131]"
could've,could've,"[11, 1, 12, 13, 15, 131]"
counc*,counc,"[121, 354]"
couns*,couns,"[121, 354]"
countr*,countr,"[250, 252]"
couple,couple,"[1, 20]"
